                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73317,                0.55773,                 1.0549,                0.90821,                 0.9204,                0.94895,                0.71486,                0.90944,                0.59904,                 1.0692,              0.0013268,              0.0013268,              0.0013268
                     36,                0.80744,                0.57431,                 1.0833,                0.92094,                0.94814,                0.97221,                0.73582,                0.90028,                0.59173,                 1.0654,               0.001307,               0.001307,               0.001307
                     37,                0.75409,                0.58546,                 1.0486,                0.95865,                0.94365,                0.97883,                0.72517,                 0.9383,                0.56815,                 1.0734,              0.0012872,              0.0012872,              0.0012872
                     38,                0.75217,                0.53353,                 1.0743,                0.98349,                0.94186,                0.98066,                0.76033,                0.91742,                0.53938,                 1.0832,              0.0012674,              0.0012674,              0.0012674
                     39,                0.70548,                0.52094,                 1.0746,                0.96074,                0.92442,                0.96992,                0.75082,                0.89363,                0.55234,                 1.0794,              0.0012476,              0.0012476,              0.0012476
                     40,                0.80462,                0.55431,                 1.1421,                0.96385,                0.94186,                0.97817,                0.73153,                0.91234,                 0.5447,                 1.0656,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.7272,                0.52013,                 1.0731,                0.94693,                0.92442,                0.97131,                0.71401,                 1.0264,                0.61497,                 1.1843,               0.001208,               0.001208,               0.001208
                     42,                0.75288,                0.51993,                 1.0634,                0.92156,                0.95633,                0.97868,                0.74874,                0.90091,                0.57024,                 1.0722,              0.0011882,              0.0011882,              0.0011882
                     43,                0.70486,                0.50207,                 1.0389,                0.95492,                0.90698,                0.96774,                0.71094,                0.97149,                0.58466,                 1.1002,              0.0011684,              0.0011684,              0.0011684
                     44,                0.71808,                0.50549,                 1.0587,                0.97296,                0.93023,                0.98238,                0.74195,                0.93324,                  0.548,                 1.1103,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.7221,                0.53452,                 1.0809,                0.96145,                0.93023,                0.97894,                0.76266,                0.86858,                0.50294,                 1.0623,              0.0011288,              0.0011288,              0.0011288
                     46,                0.68832,                0.51104,                   1.03,                0.98139,                0.95349,                0.98321,                0.77248,                0.86321,                0.51223,                 1.0379,               0.001109,               0.001109,               0.001109
                     47,                0.70629,                0.51212,                 1.0403,                0.99216,                0.96512,                0.98965,                0.79696,                0.81204,                 0.4677,                 1.0005,              0.0010892,              0.0010892,              0.0010892
                     48,                0.67002,                 0.4824,                 1.0386,                0.97419,                0.93605,                0.98083,                0.78792,                0.78786,                0.47377,                 1.0046,              0.0010694,              0.0010694,              0.0010694
